Surname,Count,
bullaha,13,
sajina,13,
kuri,13,
kalicharana,13,
husanaara,13,
bilaqisa,13,
kahakasha.n,13,
alakama,13,
tanu,13,
shaiphula,13,
gai,13,
najada,13,
majina,13,
nasera,13,
jahirauddina,13,
sudarshana,13,
bholi,13,
nala,13,
sigha,13,
makshi,13,
barakati,13,
arabi,13,
aramina,13,
osaida,13,
yahaya,13,
phuladai,13,
senula,13,
khatijana,13,
kutubuddina,13,
nimisha,13,
najeruna,13,
gulanura,13,
ahamadullaha,13,
charya,13,
ajimaudina,13,
vata,13,
nijamaudina,13,
sakali,13,
lilama,13,
maseda,13,
masudana,13,
doja,13,
majira,13,
phalaka,13,
amarudina,13,
nasida,13,
rajiudina,13,
bhavya,13,
paha.di,13,
shrivastaba,13,
suveda,13,
sarasvata,13,
ravibhushana,13,
maitra,13,
mahamudina,13,
gosaya,13,
priyamshi,13,
isateyaka,13,
pervina,13,
upemdra,13,
baga,13,
phara,13,
shaipha,13,
bamdi,13,
shubhamgi,13,
sallauddina,13,
ohaba,13,
gadadi,13,
yasha,13,
sitadevi,13,
kumariri,13,
khusabu,13,
mohibullaha,13,
sumedha,13,
gapta,13,
saphiruddina,13,
tasavira,13,
misija,13,
tarakeshvara,13,
khaatuna,13,
chotaki,13,
lahakara,13,
maniya,13,
kodiya,13,
ajina,13,
vanarji,13,
0,13,
munatasira,13,
virendra,13,
mahanaja,13,
rohatagi,13,
ujira,13,
khokhiya,13,
mahasuma,13,
snehala,13,
arunima,13,
chandravashi,13,
baheti,13,
rituraja,13,
khushavu,13,
parbata,13,
bakhtiyara,13,
devui,13,
moriyama,13,
nasarulla,13,
bhuvaniya,13,
shamashudina,13,
mamanuna,13,
abdina,13,
ayesha,13,
talha,13,
atikula,13,
vashishtha,13,
kadabanu,13,
ziya,13,
jasamudina,13,
bindu,13,
monalisha,13,
panaphula,13,
saphara,13,
sadeka,13,
ruvaida,13,
jahanara,13,
salimauddina,13,
haya,13,
rajebula,13,
ladadana,13,
suchita,13,
ajimula,13,
musharapha,13,
lava,13,
saramina,13,
shamaॉ,13,
vidyasagara,13,
ubeda,13,
samija,13,
asadaka,13,
mehajabina,13,
shahavaza,13,
masaleuddina,13,
kataruka,13,
patapa,13,
dugada,13,
somana,13,
nandini,13,
sahajamala,13,
salamagira,13,
sairuddina,13,
suryanarayana,13,
saibula,13,
motani,13,
urapramila,13,
tamane,13,
janisa,13,
mophijuddina,13,
velala,13,
vechana,13,
adiba,13,
najimuddina,13,
lajima,13,
sahama,13,
nuniyam,13,
atibula,13,
shoyaba,13,
jaimula,13,
huseni,13,
samasida,13,
shanichari,13,
kurshida,13,
surata,13,
deviha,13,
naushina,13,
ruba,13,
hansada,13,
sabuhi,13,
matibula,13,
taradevi,13,
rrishabha,13,
baksha,13,
saidi,13,
koraisha,13,
malani,13,
nagiya,13,
rathauda,13,
suraji,13,
altamasa,13,
azamata,13,
nanhem,13,
mananana,13,
chamani,13,
tajakera,13,
kutabuddina,13,
mashakura,13,
laladai,13,
mayavati,13,
nurasada,13,
mahapara,13,
shagufata,13,
tavijana,13,
javahara,13,
mushtakima,13,
munari,13,
mahelaka,13,
triyara,13,
manari,13,
rojiya,13,
zabira,13,
saikula,13,
dhanamjaya,13,
chamdravati,13,
kapadiya,13,
ajida,13,
sallo,13,
salauddhina,13,
molajima,13,
shaharavanu,13,
nandalala,13,
dehari,13,
pano,13,
taramuni,13,
humayu.n,13,
chandravamsi,13,
shribastava,13,
tete,13,
barisa,13,
nana,13,
naseda,13,
deviyo,13,
jamarula,13,
bhe.dihara,13,
kandoi,12,
manasa,12,
baॉbi,12,
samghai,12,
mamdal,12,
mahamda,12,
bachcha,12,
sonika,12,
manilala,12,
lalati,12,
svaminatha,12,
laki,12,
arora,12,
atuna,12,
hakue,12,
daha,12,
josi,12,
kinara,12,
aisakhatuna,12,
hana,12,
maphuja,12,
vagavai,12,
kiyamudina,12,
karina,12,
nayaja,12,
ashagara,12,
kapa.di,12,
romi,12,
kavi,12,
sayama,12,
anisurrahamana,12,
sulochana,12,
shaili,12,
monira,12,
mobila,12,
matiphula,12,
mokimudina,12,
kashinatha,12,
phajalu,12,
phajilana,12,
kidavai,12,
daiji,12,
shahanura,12,
khotuna,12,
khatuana,12,
dharmemdra,12,
yasana,12,
akina,12,
hemayuna,12,
majura,12,
skila,12,
najina,12,
badenura,12,
lalabibi,12,
sahajaha,12,
gulasera,12,
motiullaha,12,
sakiva,12,
manirula,12,
sidadiki,12,
ajagara,12,
kisavari,12,
previna,12,
rajja,12,
mohamadina,12,
neyaza,12,
naushaba,12,
busara,12,
inayata,12,
ruhullaha,12,
hasaruna,12,
meharabana,12,
bhulli,12,
nayyara,12,
balmiki,12,
dulali,12,
keli,12,
parula,12,
hajaratuna,12,
vajipha,12,
tabashuma,12,
hamana,12,
moharrama,12,
elahi,12,
raphidana,12,
sahajaham,12,
kaimudina,12,
irama,12,
hamaza,12,
tribedi,12,
phajilata,12,
ajhami,12,
khamdeliya,12,
mohmada,12,
faruka,12,
puver,12,
gope,12,
khurasaida,12,
malu,12,
samtara,12,
sibagatullaha,12,
mahamtha,12,
mili,12,
suma,12,
jeharuna,12,
jugani,12,
dropadi,12,
kalimulaha,12,
achala,12,
uddyina,12,
bokiya,12,
gulasa,12,
banika,12,
marodiya,12,
gilani,12,
navajisha,12,
akidana,12,
motiurarahamana,12,
mosahida,12,
geyasa,12,
fahada,12,
parabeja,12,
jaॉrja,12,
ainudina,12,
husanara,12,
meharaba,12,
mo0isalama,12,
nurasheda,12,
nirupama,12,
stuti,12,
prabeja,12,
aphagana,12,
jakarula,12,
phokachi,12,
ajijurrahamana,12,
yogesha,12,
japharullaha,12,
rajanarayana,12,
sahavi,12,
imaraja,12,
nonaya,12,
pratiksha,12,
ashama,12,
sumera,12,
jamani,12,
bikrama,12,
khurshada,12,
rubiya,12,
niyamati,12,
jarra,12,
binoda,12,
hadasa,12,
karimullaha,12,
kohenura,12,
ramalakhana,12,
khushabina,12,
sahalama,12,
mahazabi,12,
manatasha,12,
shephali,12,
husnavano,12,
khalilullaha,12,
ajamullaha,12,
anajarula,12,
chimtu,12,
mehajavi,12,
gulasita,12,
nazamula,12,
madhura,12,
singh,12,
phaiyyaja,12,
safiqa,12,
sirajaudina,12,
ajira,12,
isataka,12,
kohali,12,
jalaudina,12,
madeya,12,
mokita,12,
takasira,12,
rephuna,12,
sebuna,12,
misarana,12,
rojani,12,
`,12,
ranadhira,12,
chitra,12,
sumbula,12,
monapha,12,
ijharula,12,
upadhayaya,12,
valmiki,12,
jitana,12,
mustufa,12,
gulpharaza,12,
motiphana,12,
amgura,12,
manali,12,
jalina,12,
phulavati,12,
alalma,12,
saharoja,12,
pra0,12,
amjarula,12,
sayaka,12,
masakina,12,
shehara,12,
taliva,12,
piyadarshi,12,
paramananda,12,
hajaruna,12,
jahani,12,
arama,12,
pato,12,
sabiba,12,
tanushri,12,
shamashuddina,12,
ruchika,12,
yunisa,12,
agrabala,12,
kahakashaॉ,12,
madhupriya,12,
nasa,12,
kuvari,12,
r,12,
marani,12,
habari,12,
nasivana,12,
dabalu,12,
jabiullaha,12,
barahi,12,
vajaira,12,
jarja,12,
phulapati,12,
akhalakha,12,
raziqa,12,
amanatullaha,12,
isufa,12,
makhiya,12,
manava,12,
jayasvala,12,
primyaka,12,
toni,12,
chaukhani,12,
rudra,12,
vai,12,
nurajana,12,
javadula,12,
garaya,12,
ashadevi,12,
sophiyana,12,
bhatanagara,12,
hemamta,12,
rajvamsi,12,
nuraudina,12,
badarudadina,12,
shahamada,12,
kushami,12,
kisana,12,
najarudina,12,
pujana,12,
afaka,12,
lalavana,12,
kameshvara,12,
piyamka,12,
minaza,12,
nasiraudina,12,
rojana,12,
pavitri,12,
sahabuba,12,
mareya,12,
rokasara,12,
zasima,12,
saphiulaha,12,
shivapujana,12,
mahima,12,
simhaniya.n,12,
manauara,12,
sak?sena,12,
anajumana,12,
kumja,12,
sarali,12,
ramadai,12,
mojibura,12,
basi,12,
samasudadina,12,
ajaruddina,12,
qayyuma,12,
shashiramjana,12,
nabira,12,
rritika,12,
jobaira,12,
bholiya,12,
beva,12,
arushi,12,
chandramani,12,
gulashera,12,
devarani,12,
harirama,12,
sakara,12,
baroliya,12,
rabi,12,
barasi,12,
murasalina,12,
ba.cgama,12,
rajanikanta,12,
alimullaha,12,
saphudina,12,
sakasena,12,
mokida,12,
ladu,12,
balaji,12,
kunara,12,
panjiyara,12,
rahanuma,12,
chiku,12,
sajaka,12,
sadarudina,12,
lalamuna,12,
vajoriya,12,
rajakamala,12,
shrashi,12,
rajagadiya,12,
samani,12,
bhuvaniyam,12,
vishakha,12,
saidurrahamana,12,
meratuna,12,
kamiruddina,12,
kamaruddhina,12,
kuavara,12,
alabela,12,
mansura,12,
sumaiya,12,
mokarama,12,
kumarai,12,
shahajana,12,
rajiuddina,12,
fatema,12,
abukalama,12,
rajata,12,
kumara|,12,
qashna,12,
varnamala,12,
misira,11,
sagari,11,
mausima,11,
tasnima,11,
musaleha,11,
kanhai,11,
nakima,11,
hidayatullaha,11,
shimpi,11,
mahenigara,11,
muskima,11,
avamtika,11,
jayamala,11,
subhama,11,
mamjhim,11,
mahamta,11,
niki,11,
sokhina,11,
zamiruddina,11,
dilaroshana,11,
rajashekhara,11,
mada,11,
atiphula,11,
nuraseva,11,
safaruddina,11,
mamila,11,
kamaliya,11,
mukhiya.n,11,
hephaja,11,
vasaphoda,11,
vamtara,11,
monaima,11,
abdurrahima,11,
ashvini,11,
anaso,11,
tausira,11,
rukasena,11,
etavariya,11,
minadevi,11,
ishara,11,
prakhara,11,
lalabihari,11,
shabbu,11,
hamidullaha,11,
tibarevala,11,
atavariya,11,
rasiya,11,
sidvika,11,
raphina,11,
bamgali,11,
dubedi,11,
kale,11,
phaujiya,11,
auramgajeva,11,
jalasa,11,
richarda,11,
moalama,11,
tasanipha,11,
shibali,11,
javaida,11,
bikki,11,
shiyasana,11,
khatuna],11,
sano,11,
goldi,11,
kashami,11,
leya,11,
hamima,11,
tanajira,11,
samata,11,
sikariya,11,
asma,11,
budhu,11,
abrara,11,
najida,11,
sakhavata,11,
kabulana,11,
nijamudvina,11,
rajakali,11,
tamajida,11,
shakara,11,
ek?ka,11,
rrishiyasana,11,
mo0aripha,11,
ray,11,
phaijula,11,
khushbuna,11,
anasura,11,
sunitadevi,11,
chedani,11,
jayapuriya,11,
riku,11,
taushipha,11,
disuja,11,
ku.nbara,11,
naimsi,11,
niti,11,
mitali,11,
jairuna,11,
gula,11,
shahanasha,11,
khandevala,11,
kumakari,11,
asarphi,11,
mini,11,
ramadayala,11,
jabvara,11,
vasera,11,
johaka,11,
anamta,11,
khamdevala,11,
jiyaurrahamana,11,
kaisari,11,
shahista,11,
samarudina,11,
ovaida,11,
tanajima,11,
sairaja,11,
kamjo,11,
shantanu,11,
chamgara,11,
parihasta,11,
phaijuddina,11,
khatavem,11,
tikulahara,11,
akhtaruna,11,
ramachandra,11,
amiruna,11,
amiraudina,11,
guleruna,11,
amzara,11,
kalyana,11,
kaureshi,11,
sameruna,11,
saraphula,11,
simnaha,11,
prasadasimha,11,
vindeshvari,11,
ramapari,11,
asametara,11,
tanvi,11,
saphikana,11,
sushamta,11,
phulatara,11,
gujari,11,
jaharuna,11,
hamaphula,11,
kaphiludina,11,
saddhama,11,
majahida,11,
sau,11,
satisha,11,
kakumari,11,
nitya,11,
manirudina,11,
mohatasima,11,
dubem,11,
devashisha,11,
khaikhara,11,
janakiya,11,
matho,11,
khelavana,11,
makasudana,11,
gulasara,11,
samiya,11,
patani,11,
sudana,11,
mahibula,11,
pujari,11,
amshumala,11,
chaudhira,11,
intakhaba,11,
taharima,11,
rahimullaha,11,
basamatiya,11,
ataulla,11,
mate,11,
raksha,11,
kama,11,
manajira,11,
asami,11,
misri,11,
maru,11,
chudivala,11,
pam,11,
sadara,11,
ammara,11,
dugara,11,
salatuna,11,
bhagavati,11,
lumari,11,
ajo,11,
meharajana,11,
mabuda,11,
samirudina,11,
lalamohammada,11,
mojibullaha,11,
kotarivala,11,
mahamudana,11,
sahodari,11,
shashivala,11,
qayuma,11,
ravidasha,11,
ramadaya,11,
mudi,11,
kasipha,11,
tauti,11,
utsava,11,
sajjo,11,
nurashaba,11,
ayubi,11,
kailasha,11,
patasiya,11,
hasanajana,11,
pataka,11,
bhosale,11,
pharosa,11,
alaguna,11,
kashisha,11,
sori,11,
najha,11,
vindeshvara,11,
inusha,11,
tunni,11,
vahara,11,
sakiya,11,
ganesa,11,
abusama,11,
snigdha,11,
sumani,11,
nabila,11,
shaharuna,11,
lakhi,11,
rohida,11,
kazi,11,
jahamna,11,
mehabuba,11,
hembrahama,11,
mairata,11,
musara,11,
paramanamda,11,
daudi,11,
simtu,11,
sagupta,11,
kinnu,11,
debe,11,
vasara,11,
ramadeva,11,
aphphana,11,
bharadaja,11,
sapho,11,
josa,11,
nabaja,11,
sukumari,11,
tatava.n,11,
husni,11,
tairuna,11,
samjo,11,
tadu,11,
niyamula,11,
mutaliba,11,
ekalaka,11,
ragupta,11,
ramjani,11,
rakibula,11,
nanha,11,
goldena,11,
devakuliyara,11,
deviu,11,
alihusaina,11,
lochana,11,
nusharata,11,
sophila,11,
mohammadina,11,
anajana,11,
kelu,11,
gauraba,11,
amjura,11,
dharmaraja,11,
memhadi,11,
matiullaha,11,
baniya,11,
shahara,11,
vasita,11,
nira,11,
teharuna,11,
alimauddina,11,
khesa,11,
ela,11,
ekubala,11,
rashami,11,
chaumdhari,11,
subera,11,
mojaphara,11,
khudiya,11,
raphikula,11,
nada,11,
ambuja,11,
kasimuddina,11,
hameda,11,
ko,11,
hamidi,11,
isada,11,
mushlima,11,
pharamudina,11,
jumaida,11,
samiraudina,11,
shisha,11,
jebuna,11,
danta,11,
idiya,11,
dokaniya.n,11,
moshamima,11,
amsha,11,
madi,11,
samta,11,
musharrapha,11,
tirake,11,
roya,11,
geniya,11,
rami,11,
judina,11,
amitabha,11,
bannu,11,
kamaddina,11,
daroga,11,
sajarula,11,
samana,11,
niyamudina,11,
jahirana,11,
nisharata,11,
pasimha,11,
hajjama,11,
khushabuda,11,
nasirana,11,
sahajida,11,
neyajuddina,11,
hiramana,11,
kasamudina,11,
pramina,11,
uttama,11,
jatuna,11,
kulasama,11,
chaitu,11,
mukhya,11,
sephudina,11,
amanura,11,
aphaza,11,
pataila,11,
nabiullaha,11,
bagala,11,
khatora,11,
ramasvarupa,11,
khatruna,11,
dukhai,11,
gulaphasa,11,
chudhari,11,
baranabala,11,
bhuvaniya.n,11,
mo0alama,11,
hadisani,11,
dhamdhariya,11,
keshvara,10,
vyadha,10,
momtaja,10,
ashvani,10,
nnisa,10,
ibrara,10,
priyadashi,10,
makhabula,10,
laliya,10,
madhesiya,10,
gullo,10,
manija,10,
nursadi,10,
simghala,10,
abadulla,10,
kutuba,10,
obaisa,10,
ujara,10,
salu,10,
janabi,10,
subba,10,
mamdana,10,
pharadina,10,
nonayam,10,
jokhani,10,
somariya,10,
manikamta,10,
shahabana,10,
tasakina,10,
gulaichi,10,
kuosimha,10,
nazarula,10,
rayina,10,
rajanigamdha,10,
vamra,10,
momustapha,10,
sunari,10,
abhinamdana,10,
faqira,10,
julesa,10,
shahidana,10,
lehari,10,
zahara,10,
paudyara,10,
aniketa,10,
nimmi,10,
chulhiya,10,
thaku,10,
kamaleshvari,10,
tappo,10,
panda,10,
rebuna,10,
nasimana,10,
basirudina,10,
mamjita,10,
phariyada,10,
sharukha,10,
khatama,10,
hasmuddina,10,
rajamna,10,
kuliyara,10,
mahendra,10,
niyamuddina,10,
jannatuna,10,
mohidina,10,
taphasira,10,
samidana,10,
vikalamga,10,
sukani,10,
sahajabi,10,
bhaiya.n,10,
ikaramuddina,10,
parasanatha,10,
anjuna,10,
maha,10,
kanana,10,
naijuna,10,
thevi,10,
banti,10,
mastaka,10,
tejasvi,10,
rajamati,10,
tabijana,10,
chitani,10,
vipula,10,
asamira,10,
khadima,10,
kachalu,10,
giyasuddina,10,
shaiphi,10,
rahimaudina,10,
gulabanu,10,
saudagara,10,
lina,10,
shari,10,
eliyasa,10,
simdhi,10,
khaina,10,
zilani,10,
harishamkara,10,
matisari,10,
saviha,10,
rajamatiya,10,
budani,10,
ushmana,10,
nurauddina,10,
shahabi,10,
dabi,10,
sanavari,10,
thakani,10,
harula,10,
asa,10,
tejuna,10,
zakariya,10,
ruksana,10,
japharuddina,10,
iraphani,10,
ajaphara,10,
phagu,10,
chika,10,
balarama,10,
motiurahamana,10,
bhakata,10,
chapariya,10,
khstuna,10,
savaruna,10,
tha,10,
hasebula,10,
khua,10,
nausava,10,
phulava,10,
ziyaullaha,10,
musatupha,10,
monazira,10,
tatva,10,
mustakiya,10,
atavari,10,
gharami,10,
sevaka,10,
nasibula,10,
imajuddina,10,
ganauri,10,
sakalaina,10,
jaibula,10,
imamauddina,10,
tasariphana,10,
kheravara,10,
imitayaja,10,
sonadaya,10,
animesha,10,
amarendra,10,
shoharava,10,
jogi,10,
shehanaja,10,
junaba,10,
bakaullaha,10,
suvarna,10,
veda,10,
musharata,10,
khushanura,10,
isaraka,10,
mojjama,10,
ladadu,10,
pujara,10,
gosavami,10,
sephuna,10,
jikarula,10,
masaraila,10,
tekadivala,10,
hasarati,10,
asirauddina,10,
batsa,10,
nezama,10,
amadi,10,
gargi,10,
nasarata,10,
ramarati,10,
sahanvaja,10,
niya,10,
naki,10,
duradana,10,
didavaniya,10,
basakhora,10,
horo,10,
gurda,10,
suri,10,
vakasa,10,
gulphasha,10,
nausina,10,
vaso,10,
k?yamuddina,10,
gulabasha,10,
simghaniya.n,10,
aijaza,10,
snehila,10,
khatuna`,10,
khurrama,10,
shashibala,10,
kaula,10,
kanishka,10,
pani,10,
sapharaja,10,
sukura,10,
j~nani,10,
das,10,
ansarula,10,
davira,10,
kramti,10,
premashila,10,
kherula,10,
paravem,10,
bamdhu,10,
tikulihara,10,
urova,10,
kisuna,10,
sabba,10,
mrridula,10,
nuraphuna,10,
maratuja,10,
samirana,10,
vasiya,10,
dhruva,10,
ishtekhara,10,
bilakesa,10,
emamudina,10,
mamataja,10,
negara,10,
bainarji,10,
rajeshvara,10,
purushottama,10,
vadaruddina,10,
mujalima,10,
ijarayala,10,
khadagaha,10,
katum,10,
gulasari,10,
ujalepha,10,
sahabaza,10,
karmavira,10,
majiya,10,
simhaniya,10,
inatiyaja,10,
taso,10,
kuimara,10,
svarnima,10,
imani,10,
yushupha,10,
prasanna,10,
kudaila,10,
saiduna,10,
badari,10,
mahaya,10,
rabila,10,
eyaja,10,
aphasha.n,10,
malina,10,
maliya,10,
tamareja,10,
sanajira,10,
umati,10,
alataba,10,
shahada,10,
abdulagani,10,
numa,10,
hasibullaha,10,
bhadaisavara,10,
isamahamada,10,
rahamatula,10,
sunaraita,10,
nilakamala,10,
haphaja,10,
minara,10,
asharphi,10,
sohani,10,
imtakaba,10,
hammada,10,
ravanama,10,
halimaudina,10,
meharunnisa,10,
phaka,10,
vipati,10,
altaba,10,
tanupriya,10,
tarikha,10,
peshakara,10,
hasibura,10,
pamchu,10,
mosabira,10,
asamudina,10,
vatsayana,10,
isamati,10,
shalika,10,
basarudina,10,
vidya,10,
amaradipa,10,
basamti,10,
varaiya,10,
shaphira,10,
alamudina,10,
gulamohammada,10,
ba,10,
taki,10,
sheruna,10,
patrada,10,
sabenura,10,
gulasama,10,
mashuka,10,
monasima,10,
makima,10,
kusama,10,
mokila,10,
ishana,10,
ananada,10,
rohini,10,
isarula,10,
jayadeva,10,
gavaskara,10,
amela,10,
nimajana,10,
sambhava,10,
modasira,10,
manavvara,10,
saliya,10,
chatiya,10,
aphari,10,
yaduka,10,
paravira,10,
nurulahoda,10,
ishu,10,
musphika,10,
nissa,10,
deba,10,
ne,10,
haluvai,10,
alina,10,
sighaniya,10,
kesana,10,
kumararaya,10,
maho,10,
asarula,10,
mavamdiya,10,
rushatama,10,
ida,10,
navita,10,
shashvata,10,
sultaniya.n,10,
sukhari,10,
upendra,10,
kazami,10,
chaitanya,10,
rajavi,10,
josefa,10,
shahavudina,10,
mamzara,10,
viktara,10,
homa,10,
rashada,10,
gulafasa,10,
panava,10,
atikurrahamana,10,
jahidana,10,
pharana,10,
ja.nha,10,
masima,10,
shahabula,10,
nasiha,10,
rati,10,
pharina,10,
najiva,10,
sammo,10,
farzana,10,
mokina,10,
nadaba,10,
surati,10,
aphajhala,10,
nesham,10,
khatum,10,
abu,10,
simha|,10,
altamasha,10,
saimula,10,
ebarara,10,
diba,10,
sadari,10,
sabida,10,
adaka,10,
khanuna,10,
rna,10,
gulajari,10,
ghamgara,10,
khatuna',10,
shahajadina,10,
kalasuma,10,
sadikula,10,
shamara,10,
haimarama,10,
kevara,10,
vipina,10,
banavasi,10,
bauri,10,
aso,10,
varna,10,
koyari,10,
virahora,10,
sahazadi,10,
shaphikula,10,
ruhinaja,10,
javahira,10,
kyala,10,
kahanani,9,
jayakumara,9,
khituna,9,
vavalu,9,
riti,9,
gulasehara,9,
samuna,9,
samaphula,9,
anasula,9,
kishorapuriya,9,
dha.nga.da,9,
khali,9,
tapasvi,9,
surekha,9,
dayaji,9,
rugata,9,
dada,9,
paudadara,9,
bauki,9,
jevi,9,
ahiya,9,
habiva,9,
moabbasa,9,
devri,9,
arija,9,
bhuliya,9,
jauhari,9,
yogendra,9,
kalimulla,9,
manadala,9,
sanfaraja,9,
priyamavada,9,
phuraguna,9,
doliya,9,
podhdara,9,
bagavai,9,
lahera,9,
phatmi,9,
kumvari,9,
ba.ndha,9,
basanti,9,
urpha,9,
darakhashaॉ,9,
bairagi,9,
krrishi,9,
devipa,9,
vakali,9,
lalakarna,9,
sebi,9,
ajibula,9,
jamuna,9,
jahari,9,
malha,9,
laladaya,9,
hasamati,9,
miragha,9,
budhava,9,
makula,9,
vedi,9,
dvevi,9,
kamchanamala,9,
ainuddina,9,
kulakarni,9,
phajalurrahamana,9,
prasimha,9,
tajamahamada,9,
samaseda,9,
gamgiya,9,
gulabano,9,
ishlama,9,
khatahana,9,
variyara,9,
kurasida,9,
havivana,9,
jhana,9,
sikari,9,
kurela,9,
mumara,9,
saleka,9,
jyaullaha,9,
budhdana,9,
daॉgi,9,
ek?sa,9,
ranikumari,9,
najari,9,
rabbi,9,
jekaba,9,
badarudvina,9,
jayanti,9,
ajarula,9,
muiya,9,
idana,9,
sugandha,9,
asalima,9,
munamuna,9,
shamanura,9,
jumedina,9,
phulabano,9,
panasari,9,
gobimda,9,
sadaru,9,
mehattara,9,
jahamnura,9,
sajhali,9,
mastari,9,
gulabiya,9,
phulavivi,9,
tamanane,9,
jya,9,
tiba.devala,9,
rajauddina,9,
pamjabi,9,
banaraita,9,
kuanara,9,
badiruddina,9,
solemana,9,
buchara,9,
kumaramahato,9,
gaisula,9,
rohina,9,
asaada,9,
ishrata,9,
a0,9,
samiula,9,
rohima,9,
varahi,9,
sarala,9,
buddha,9,
shaira,9,
salani,9,
kumariu,9,
avadi,9,
phekana,9,
baja,9,
musakana,9,
laika,9,
sahanevaja,9,
bashirana,9,
anubha,9,
jayoti,9,
janardana,9,
asaphi,9,
chulhaya,9,
makabulana,9,
lalajhari,9,
abdali,9,
ana,9,
rakina,9,
pakiza,9,
viliyama,9,
kaphiluddina,9,
qamaruzzama,9,
lima,9,
bashiruddina,9,
bavu,9,
amku,9,
rajavada,9,
mamjila,9,
aphaqa,9,
devakumari,9,
chitralekha,9,
phataha,9,
ura.nba,9,
jarajisa,9,
tauqira,9,
bokai,9,
meharudina,9,
isaqa,9,
seharula,9,
samjhali,9,
umarana,9,
tabisa,9,
hashamata,9,
khushirda,9,
jaisuna,9,
kulasuna,9,
vyahuta,9,
taiba,9,
kamaruuddina,9,
ku.di,9,
nekajana,9,
kimdo,9,
rajima,9,
pashvana,9,
lalama,9,
saveda,9,
najabudina,9,
kitavani,9,
nakiva,9,
somari,9,
barakha,9,
ramalala,9,
sajjala,9,
kisamatiya,9,
rupaka,9,
ghara,9,
jamam,9,
joshana,9,
jayakishora,9,
rekhadevi,9,
meharunnisha,9,
gadiya,9,
guruma,9,
khanam,9,
sunara,9,
pachaudi,9,
moshima,9,
sachidananda,9,
kamarunnesa,9,
vishvarkama,9,
vashi,9,
yashasvi,9,
mrrinalini,9,
shaharuka,9,
ejuba,9,
hamada,9,
pava,9,
parameshvara,9,
iyasana,9,
manavi,9,
ramavilasha,9,
muda,9,
cho,9,
samchita,9,
mamghi,9,
zaida,9,
naimula,9,
rozi,9,
kamalapuri,9,
kiranadevi,9,
phahimuddina,9,
riyajauddina,9,
bibha,9,
phiradoshi,9,
rajajaka,9,
mahasana,9,
beshara,9,
tajamuna,9,
ehasanullaha,9,
makhariya,9,
manataja,9,
rijvana,9,
tushara,9,
abbasha,9,
lisa,9,
yashavamta,9,
indrajita,9,
ajadani,9,
raqiba,9,
sudhamsu,9,
ajha,9,
amjama,9,
dayananda,9,
quraishi,9,
baijanatha,9,
poriya,9,
saphiudina,9,
"rama,",9,
khandeliya,9,
sorabha,9,
gosa,9,
kishvara,9,
kabita,9,
kaiva,9,
karki,9,
raisaudina,9,
konaina,9,
isana,9,
ohava,9,
jauvada,9,
menudina,9,
saraphi,9,
aliasagara,9,
jayatuna,9,
seva,9,
momataza,9,
nayadu,9,
josanara,9,
kaveri,9,
sayuma,9,
asaraphuna,9,
chapadiya,9,
thirani,9,
sabruna,9,
jamashada,9,
supheda,9,
anusha,9,
turai,9,
goriya,9,
munne,9,
shadama,9,
vaja,9,
shavina,9,
mamti,9,
rubida,9,
shivadulari,9,
mahaphila,9,
suphaida,9,
bhutaki,9,
runi,9,
nasimaudina,9,
asamana,9,
ramapati,9,
vargisa,9,
vavita,9,
asaphara,9,
mahadeva,9,
sarpharaja,9,
ha.csada,9,
annapurna,9,
dilashera,9,
mahidana,9,
majahabi,9,
kishavari,9,
kurairi,9,
ki,9,
puna,9,
siyavati,9,
makko,9,
hasa,9,
kalava,9,
sabukata,9,
ka.n,9,
mujiva,9,
sephali,9,
risha,9,
raiyana,9,
numani,9,
dhakura,9,
manoramjana,9,
chitaramjana,9,
dedi,9,
manita,9,
japhila,9,
madhurima,9,
nuradina,9,
gaॉda,9,
ramanamda,9,
palavi,9,
jahidi,9,
razika,9,
ummata,9,
toti,9,
rokhasara,9,
asamera,9,
phalatuna,9,
asila,9,
juddina,9,
dholi,9,
patara,9,
bareka,9,
muzahida,9,
maraguva,9,
sati,9,
halakhora,9,
yiasana,9,
ejadani,9,
kamina,9,
jayapakasha,9,
gorelala,9,
halema,9,
ramapukara,9,
mamjira,9,
datra,9,
tunnu,9,
arajina,9,
dipta,9,
tasobara,9,
jagaranatha,9,
gaphphari,9,
hayatullaha,9,
ishika,9,
somai,9,
jama.n,9,
jamashera,9,
jaidula,9,
anisura,9,
khaja,9,
neyara,9,
anima,9,
asamahammada,9,
phulasana,9,
kaijuma,9,
bakasa,9,
gaya,9,
patalu,9,
jada,9,
dibya,9,
sauriya,9,
amtima,9,
shahenura,9,
samashudina,9,
jayaullaha,9,
nasimauddina,9,
go,9,
tahiruna,9,
sahiva,9,
tasamina,9,
nosari,9,
atiulaha,9,
jakeruna,9,
farajana,9,
soaiva,9,
jayauddina,9,
raphe,9,
oli,9,
bajida,9,
sahanura,9,
mamuna,9,
barua,9,
mahala,9,
mahetara,9,
shamam,9,
gulabasa,9,
babudina,9,
khushanasiba,9,
manajo,9,
mamjuri,9,
tashalima,9,
udevi,9,
chaihana,9,
bhagiya,9,
nuraso,9,
vidyanamda,9,
chatri,9,
habibulaha,9,
nitina,9,
mamjusha,9,
klumari,9,
samkara,9,
aiyaja,9,
babuddina,9,
je,9,
esana,9,
chandrika,9,
