Surname,Count,
bihari,491,
ramana,491,
rajavara,490,
sadika,490,
rehana,488,
saba,487,
neha,483,
saida,482,
sonara,480,
karmakara,479,
kamara,478,
ji,477,
lata,476,
phatima,475,
ajija,471,
mushahara,470,
saphika,469,
alaudina,468,
iqabala,467,
mannana,466,
mala,465,
chakravarti,465,
lakshmi,465,
hasanaina,463,
mahatom,459,
jaha.ngira,459,
asipha,458,
julekha,453,
rajjaka,452,
kudusa,450,
mehatara,448,
momina,447,
shahajada,444,
rizavana,444,
mariyama,444,
vakila,443,
prabha,442,
parihara,440,
bari,440,
ha.nsada,439,
chandravamshi,435,
sattara,433,
mahamuda,432,
rubi,429,
siddiki,428,
ajima,428,
bivi,427,
krrishna,427,
mahammada,425,
shahanavaja,425,
ehasana,424,
kumhara,417,
paraveja,416,
haphija,416,
saravara,415,
najama,414,
nisha.n,412,
samira,412,
rustama,411,
gulaba,410,
isamaila,410,
japhara,409,
nausada,407,
dikshita,407,
jarina,405,
jabi,405,
trivedi,400,
mohasina,400,
yasmina,395,
rishideva,395,
ashika,395,
vahida,394,
aphajala,394,
ekabala,394,
shahajaha.n,393,
ku,392,
bahadura,392,
rabbani,392,
shahabuddina,390,
tati,390,
prabhakara,389,
ganesha,388,
baharadara,387,
khaira,385,
ullaha,385,
khalipha,384,
idarisa,384,
jahamgira,383,
gupharana,382,
tabareja,381,
shabbira,380,
alima,377,
musalima,377,
simgha,375,
reja,375,
ejaja,374,
mukharji,373,
sarapharaja,373,
malaha,373,
asaphaka,371,
khalika,370,
shamashera,370,
danisha,370,
manisha,368,
rukhasana,367,
kamakara,364,
amira,363,
bhakta,363,
abdullaha,362,
bala,362,
dauda,361,
padita,359,
samada,357,
anasari,357,
hasiba,356,
chodhari,356,
dilashada,355,
maurya,355,
hanipha,353,
sakira,353,
haॉsada,353,
kamari,352,
basaka,352,
savira,352,
laheri,351,
rajakumara,350,
sharipha,350,
pratapa,349,
sahina,349,
dhobi,348,
hemarama,348,
bosaka,347,
kurmi,347,
praveja,345,
asamina,344,
puri,344,
kayuma,344,
taiyaba,343,
kanta,343,
salamana,342,
babalu,341,
priti,340,
mokima,340,
usamana,340,
mahabuba,340,
shahajadi,338,
adila,337,
samina,335,
kohara,334,
kaisara,334,
asarapha,333,
nijama,333,
gani,332,
raisa,331,
anavari,330,
ravi,329,
nuri,329,
kapari,328,
go.da,327,
kuraisi,326,
chamdra,323,
kaiyuma,322,
phaiyaja,320,
ismaila,319,
salaudina,318,
arashada,318,
makasuda,316,
shikha,315,
dasi,313,
shabana,313,
archana,312,
abdula,311,
kapura,309,
abhisheka,309,
murtuja,308,
abida,307,
jana,307,
kanu,307,
irasada,306,
satara,305,
amjali,304,
acharya,304,
bebi,303,
rahamata,303,
mani,303,
mumda,303,
shahanavaza,302,
baigama,302,
pharida,302,
nura,302,
aphasara,301,
nadima,301,
chamdravamshi,300,
subhana,300,
tuddu,300,
mustafa,300,
ra,300,
bega,299,
mahara,299,
tamanna,299,
seraja,299,
shakira,298,
ajami,298,
shveta,298,
azada,297,
isahaka,297,
guddu,297,
shaukata,296,
sorana,296,
punama,296,
reza,296,
ijahara,295,
sena,295,
madamla,294,
samasada,293,
prabina,290,
de,290,
gaphura,290,
anisa,288,
sima,286,
jubaira,286,
priyadarshani,284,
nigara,284,
azama,284,
gulajara,284,
kuamra,283,
mehara,282,
barnavala,281,
nidhi,281,
muhammada,281,
fatima,281,
mumataza,280,
sinaha,280,
moina,280,
rajabamshi,279,
pharajana,279,
raupha,278,
japhira,277,
samasula,277,
khalida,276,
chatarji,276,
jamasheda,276,
firadausa,275,
rastogi,273,
misara,273,
hashami,272,
paraveza,272,
banarji,271,
rashmi,271,
latipha,271,
akila,269,
kaji,269,
sahila,269,
reyaja,268,
rukasana,267,
agavala,267,
pimki,267,
umara,267,
gudiya,267,
mahataba,267,
pradhana,267,
dusadha,266,
chauve,266,
gaphphara,266,
phiradausa,266,
lohara,265,
rikiyasana,265,
sakura,264,
matina,263,
gadi,263,
amajada,262,
chamdani,261,
havari,261,
kajala,260,
rijavi,259,
nahida,259,
jilani,259,
samjida,256,
amsara,255,
murma,255,
sutihara,255,
dayala,254,
mustaqa,253,
rahula,253,
imtiyaza,253,
patava,253,
asagari,252,
vaitha,250,
muskana,249,
madina,249,
masuma,248,
vatsa,247,
usmana,247,
akhatari,246,
rakiba,246,
bhujhya,246,
riyaja,246,
jabira,245,
mubaraka,245,
kureshi,245,
mehato,244,
pamkaja,244,
gajala,243,
tabasuma,243,
laiya,243,
kujara,242,
dai,242,
amjara,242,
kediya,242,
ladali,241,
jubera,241,
anamika,240,
pappu,240,
baski,240,
turiya,239,
anavarula,239,
mobina,239,
cha.nda,239,
saheba,238,
kamaruddina,237,
mitra,237,
idarisha,236,
siraja,235,
sahi,234,
pharahana,234,
pallavi,234,
shalini,233,
mahto,233,
kamta,230,
kari,230,
tauhida,230,
shaphika,230,
rahamani,230,
sitara,229,
sonama,228,
rajana,228,
ravani,228,
sarrapha,225,
pauddara,225,
nisara,225,
chero,225,
juhi,224,
ijaraila,224,
rajiya,224,
arati,224,
rajakumari,224,
shahajaham,223,
basira,222,
kamchana,222,
hadisha,221,
bhaskara,221,
ilayasa,220,
mahaphuja,220,
mosima,219,
pujhara,219,
majumadara,219,
sanaullaha,219,
gaphara,219,
udvina,218,
vasira,217,
sunita,216,
amkita,216,
murshida,216,
ajahara,214,
sajada,214,
mustari,214,
darji,214,
nusarata,214,
dulari,213,
barika,213,
mamata,213,
ekarama,212,
ahasana,212,
sarafaraja,212,
akhtari,212,
soharaba,212,
asama,212,
rahamati,211,
chaturvedi,211,
nikahata,210,
mohamada,210,
dipa,209,
saurena,209,
naragisa,208,
basaphora,207,
jainula,207,
imatiyaja,207,
yakuba,206,
amshari,206,
jalala,205,
sabina,205,
kisaku,205,
pahana,205,
mimya,205,
nijamudina,204,
jama,203,
samgita,203,
murari,202,
lalababu,202,
samida,202,
dina,201,
shakura,201,
sahabuddina,201,
imtiyaja,201,
hasda,200,
manana,200,
thapa,200,
mina,199,
jainaba,199,
araju,199,
khatabe,199,
pushpa,199,
hadisa,198,
bishvasa,198,
aryana,198,
allauddina,198,
najamina,198,
mahasetha,196,
nagama,196,
damvi,196,
isa,196,
vala,195,
kurbana,195,
tabbasuma,195,
firoza,195,
jamaluddina,195,
sadama,195,
roji,194,
isarata,194,
varasi,193,
phulakumari,193,
rukhasara,193,
kamtha,193,
makabula,193,
juli,193,
hasami,192,
johara,192,
gaddi,192,
udadina,192,
marika,192,
tetari,191,
hari,191,
chaughari,191,
rekha,190,
ikarama,190,
hashima,189,
munda,189,
basaki,189,
mamjara,189,
ruhi,189,
hemabrama,188,
mojahida,188,
babula,188,
jamira,187,
arasada,187,
chorasiya,187,
afaroza,186,
kunala,186,
isha,186,
muramura,186,
mukhtara,186,
sohela,185,
chotu,184,
aphaka,184,
divakara,183,
reshama,183,
vari,183,
saurava,182,
namdana,182,
shahanaza,182,
shivani,182,
idrisa,182,
barma,181,
nilama,181,
chau,181,
rahamatullaha,181,
jaituna,180,
sahajada,180,
shahabudina,180,
anita,180,
dipaka,179,
rabbana,179,
hannana,179,
nehala,178,
sohaila,178,
sidiki,178,
masomata,178,
jabina,178,
rina,177,
mustupha,177,
gauda,176,
gausvami,176,
sahajadi,176,
pujahara,175,
saripha,175,
marajina,174,
varisa,173,
maradi,173,
najani,173,
ravatuna,172,
chanda,172,
samasudina,172,
khetana,171,
nasha,171,
ishvara,171,
hira,171,
koda,171,
amrrita,171,
sahanaja,171,
nayana,170,
taukira,170,
vanu,169,
mistara,169,
taslima,169,
rathaura,168,
jubeda,168,
ramani,168,
kaushala,168,
bhatta,167,
belala,167,
majahara,167,
nurajamha,167,
podvara,166,
ajamala,166,
najarula,166,
aslama,165,
kaushika,165,
nujahata,165,
vaski,164,
nisam,163,
riyaza,163,
badhai,163,
ainula,163,
data,163,
khatuma,163,
supriya,162,
pra,162,
madhu,162,
musa,162,
kabira,162,
parabina,160,
prabhata,160,
bhata,160,
nijamuddina,160,
siddiqi,159,
vimala,158,
niraja,157,
bosa,157,
asari,157,
akela,157,
murtaja,157,
imteyaja,157,
moti,157,
gulama,157,
mokhatara,157,
anisha,157,
nasara,156,
atabula,156,
rahi,156,
sneha,156,
mamshuri,156,
ibarana,155,
sarita,155,
junaida,155,
podadara,155,
lukamana,154,
nazira,154,
pakasha,154,
svati,154,
qadira,154,
phiradosa,153,
jamaludina,153,
tarika,153,
anupama,153,
ekavala,153,
saleha,153,
mahajabi,152,
nasaruddina,152,
sabbira,152,
parvata,152,
risi,151,
tatava,151,
khatri,151,
shahazadi,151,
shila,151,
nitu,150,
pandita,150,
tohida,150,
tahasina,150,
jahagira,150,
pharahata,150,
shoeba,149,
irshada,149,
laladeva,149,
qasima,149,
moima,148,
baranavala,148,
phaisala,148,
faruqa,148,
kua.nra,147,
isharata,147,
masuda,147,
manira,147,
rakesha,147,
roshani,147,
sekha,147,
gu.diya,147,
mojiba,146,
navaja,146,
nizamuddina,146,
soniya,145,
shama,145,
pharukha,145,
rabina,145,
kamarula,145,
abula,145,
asika,145,
sahabudina,145,
saiyada,144,
renu,144,
pritama,144,
diva,144,
divedi,144,
shubhama,143,
avida,143,
mestara,142,
barai,142,
taliba,142,
rihana,142,
chamara,141,
kalamuddina,141,
kashima,141,
akatara,141,
rimku,141,
jalana,141,
jainava,140,
devo,140,
ko.da,140,
vahaba,140,
bhattacharya,139,
shamasada,139,
dukhani,139,
javi,139,
dharakara,139,
vastava,138,
mirdha,138,
aditya,138,
saksena,138,
labha,137,
nazima,137,
phatma,137,
madhukara,137,
ramajana,137,
ajamata,137,
amshu,137,
chamchala,137,
samasuddina,137,
vishala,136,
vasaki,136,
bhola,136,
mojima,136,
siddhiki,136,
surabhi,136,
jalaluddina,136,
vidyarthi,135,
sahaba,135,
amara,135,
saraphudina,135,
vesara,135,
siddika,134,
pharuki,134,
afarina,134,
shabira,134,
amanullaha,134,
anasara,132,
kha0,132,
niyaja,132,
shafi,132,
sikandara,131,
vijaya,131,
mokhtara,131,
shastri,131,
saini,131,
asha,131,
nurajaha,131,
ashaphaka,131,
tavassuma,131,
komala,131,
mohiuddina,130,
gira,130,
nisa.n,130,
mukhatara,129,
ibarara,129,
daya,129,
afazala,129,
jaisavala,129,
jaya,128,
