jan_acpbno,ac_number,JAN_PB,delby_booth_janrolls,AC_Name,WON_2020,_2020_Margin_Absolute,_2020_Margin_Percentage,party_name,votes,share
62|28,62,28,335,Purnia,BJP,32154,0.1700,JD(U),182,25.28
62|34,62,34,342,Purnia,BJP,32154,0.1700,RJD,4,0.87
62|80,62,80,434,Purnia,BJP,32154,0.1700,RJD,6,1.08
62|81,62,81,346,Purnia,BJP,32154,0.1700,RJD,3,0.6
62|83,62,83,375,Purnia,BJP,32154,0.1700,IND,115,22.42
62|83,62,83,375,Purnia,BJP,32154,0.1700,JD(U),378,73.68
66|246,66,246,302,Pranpur,BJP,2972,0.0200,INC,283,36.33
67|266,67,266,391,Manihari,INC,21209,0.1200,INC,381,93.38
68|283,68,283,328,Barari,JDU,10438,0.0600,JD(U),21,2.53
78|22,78,22,371,Kusheshwar Asthan,JDU,7222,0.0500,IND,20,2.61
90|1,90,1,699,Minapur,RJD,15512,0.0900,BSP,402,66.89
90|1,90,1,699,Minapur,RJD,15512,0.0900,RJD,126,20.97
94|101,94,101,372,Muzaffarpur,INC,6326,0.0400,BJP,410,76.35
94|101,94,101,372,Muzaffarpur,INC,6326,0.0400,IND,1,0.19
95|40,95,40,334,Kanti,RJD,10314,0.0500,RJD,19,46.34
99|131,99,131,321,Baikunthpur,RJD,11113,0.0600,VIP,383,67.79
99|184,99,184,334,Baikunthpur,RJD,11113,0.0600,JD(U),153,28.71
99|184,99,184,334,Baikunthpur,RJD,11113,0.0600,VIP,298,55.91
99|266,99,266,317,Baikunthpur,RJD,11113,0.0600,CPI,23,5.16
99|266,99,266,317,Baikunthpur,RJD,11113,0.0600,VIP,130,29.15
99|51,99,51,398,Baikunthpur,RJD,11113,0.0600,CPI,19,2.85
99|70,99,70,400,Baikunthpur,RJD,11113,0.0600,CPI,10,1.99
