Surname,Count
mahabuba,650
samasuddina,648
ikabala,648
vasira,647
siddiki,646
lohara,645
mehato,644
ashika,642
manana,641
gadi,640
samasudina,639
ullaha,638
madamla,636
bhujhya,633
kaji,632
mumataza,629
shamashera,624
nijama,624
sajida,624
nirala,623
chamda,622
kureshi,621
mohiuddina,619
darji,618
umara,617
patava,610
chauve,609
abida,609
ha.nsada,607
mumda,607
siraja,604
ainula,599
vaitha,598
dina,595
hashima,592
rajabamshi,590
raisa,590
rabbani,588
anasari,584
ehasana,583
misara,582
kalimuddina,580
shaukata,580
ravani,575
abdullaha,574
vasima,572
nijamudina,571
acharya,571
savira,570
saraphuddina,570
pauddara,563
aziza,562
sakira,558
gulaba,555
nijamuddina,555
ijahara,554
laiya,545
akarama,545
apharoja,544
shakira,540
meraja,540
gaddi,538
anamda,538
satyanarayana,537
hadisha,537
aphajala,536
mehara,535
rizavana,535
taslima,535
raza,531
barika,531
alimuddina,529
iqabala,528
pharida,527
musa,526
sakila,524
tauhida,521
kurbana,519
jamira,515
mosima,508
bhola,507
siddika,505
havari,504
tanavira,501
raju,501
nazira,500
ramana,497
idrisha,497
basaka,496
japhara,494
sanaullaha,493
samida,493
jahura,491
chakravarti,491
simnha,490
bishvasa,488
samira,487
dayala,486
kalimudina,486
najama,485
marika,482
hannana,480
lukamana,479
krrishna,478
pradhana,477
azama,477
sahabuddina,475
mahasetha,475
aphataba,475
chero,472
chau,471
anavarula,471
turiya,470
naimuddina,470
atabula,469
rafika,467
shekhara,467
barnavala,464
jainuddina,464
aslama,464
rahamatullaha,464
ijaraila,463
basaphora,463
ramajana,462
abula,461
kashima,460
salaudina,460
pujhara,460
saravara,460
badaruddina,460
mo0,456
chaughari,456
amsara,453
seraja,451
tabareja,449
nasaruddina,448
mazida,447
vari,447
baksa,445
faruqa,445
vahaba,444
shamasuddina,444
amira,444
amshari,444
anisa,442
bashira,442
soharaba,441
hari,441
mojiba,441
moti,440
khatabe,439
jamasheda,439
asarapha,438
kabira,436
jalala,433
ishvara,432
ramajani,431
mobina,429
parvata,429
mukhtara,429
tohida,428
tatava,425
rakiba,422
jabira,421
nizamuddina,420
rajakumara,419
shahajada,418
agavala,415
jubera,415
pra,414
nisara,413
jamaludina,410
ekabala,410
riyaja,408
jalaluddina,407
kamarula,405
muktara,403
badhai,403
podvara,401
jummana,401
azada,401
jilani,400
jainudina,399
hemarama,398
mara,397
ekarama,396
imamuddina,395
salamata,394
chamdra,393
aramana,393
yusufa,393
chamara,393
saraphudina,392
haॉsada,392
kalila,391
sorana,388
samha,387
gulajara,387
mustupha,386
mainuddina,384
rahamata,384
nathuni,383
nausada,383
sahi,380
nasiruddina,380
latifa,379
imtiyaza,378
qadira,378
pandita,377
mamshuri,377
ikarama,375
ejaja,375
pujahara,375
rastogi,375
lalababu,374
phadara,373
shafi,372
podadara,371
laladeva,371
saim,368
sidika,367
mubaraka,367
sirajuddina,366
barai,365
gayasuddina,365
kamtha,364
saripha,364
chorasiya,361
najamuddina,361
munda,359
kuara,359
gausvami,358
murtaja,358
mukharji,358
azima,357
risi,357
ramani,356
mojima,356
garai,355
moinuddina,354
ishaka,354
aphaka,353
kamarudina,351
alimudina,351
hira,350
kaisara,350
irasada,349
shoeba,346
kaphila,346
israila,346
samasada,343
amiruddina,343
sabbira,341
koda,341
bhata,340
firoza,340
amjara,340
mamula,340
hanifa,339
kalamuddina,339
majaluma,338
mainudina,338
uddhina,336
asari,334
sagara,333
paraveza,332
marahuma,332
babalu,332
gautama,331
liyakata,331
varisa,330
nizama,330
tajamula,329
sekha,329
gulama,328
asina,328
jumarati,328
saphira,327
sena,324
hashami,323
jahiruddina,323
alijana,322
yadaba,322
saiyada,321
gauda,321
chaturvedi,320
prabhakara,320
alihasana,319
akila,319
ravi,318
shahabudina,318
mohiudina,318
mirdha,317
dhanuka,317
jama,315
amajada,315
salimuddina,315
sikamdara,315
hafiza,315
mauara,314
isaka,313
shamasula,313
sonu,313
huda,312
nura,310
mokhtara,310
pharukha,309
teli,308
kediya,308
haviva,308
phaiyaja,308
kalu,308
ko.da,307
kamara,306
hasami,306
reja,306
shahajaha.n,305
tuddu,305
kuva.nra,305
de,304
paraveja,304
raushana,303
najamudina,303
kuvamra,302
pravina,301
belala,301
sitarama,300
mosalima,300
ajimudina,300
labha,299
chedi,298
aphasara,297
mestara,295
naimudina,294
pamkaja,294
ahasana,293
mahaphuja,293
asipha,293
mokhatara,293
enula,293
nurula,292
nejama,291
kudusha,291
mamjara,290
hadisa,290
poddhara,289
kamarujjama,289
madala,289
moima,288
shafiqa,288
pahana,288
dharakara,287
praveja,287
khalida,287
mishri,285
guddu,284
murshida,284
sarrapha,284
rabbana,282
ahada,282
khatri,281
amjuma,280
chatarji,280
telara,280
arashada,279
prashada,279
saheba,279
tajuddina,279
sidiki,278
murma,278
ajahara,278
hajari,277
divedi,277
kamta,277
nazima,277
safi,277
ishahaka,276
bhuimya,276
data,275
pratapa,275
shri,275
samjaya,274
kanta,274
sahabudina,273
riyaza,273
nurahasana,273
kapura,273
mitra,273
kashyapa,272
gupharana,272
mamgalu,272
reyaja,272
kisaku,271
phakira,271
jahagira,271
mahatha,271
chopala,271
shahanavaza,270
najarula,269
vaduda,269
nuniya,268
naiya,266
malli,266
parasada,265
vajira,265
sahadata,265
ashaphaka,264
bak?sa,262
tamoli,262
ara,262
paudvara,262
samiullaha,261
chaudhura,261
mahataba,261
kari,260
kausara,260
avida,260
baski,260
pharamana,259
subahana,259
mostakima,259
sikandara,258
banarji,258
thathera,257
thapa,257
ajimuddina,257
gom.da,255
pamariya,254
mohida,254
majumadara,253
pappu,253
rajesha,253
daraji,251
mojahida,249
si.nha,248
manasura,248
laladasa,248
amanullaha,248
salamana,247
kola,247
rakesha,246
sarapharaja,246
cha.nda,245
pajiyara,244
divana,244
mushtaka,243
pa,242
kasera,242
beladara,241
hatima,241
saurena,241
muratuja,240
gaurava,240
udyina,240
ashoka,239
nejamuddina,239
kyuma,238
akatara,238
mastri,238
bhatta,237
barma,236
bibi,234
phulahasana,234
nuruddina,234
varasi,233
mophila,233
patavari,233
majahara,233
koreshi,233
gyasuddina,231
saba,230
ibarara,230
namdana,230
dhami,230
muramura,230
shabira,230
saphida,230
hasda,229
sarama,229
imamudina,228
maurya,228
rijavi,226
khetana,226
kalimullaha,225
mukhatara,225
samiruddina,225
rajika,225
pharuki,225
basaki,224
hemabrama,224
siddiqa,223
kora,223
shahanavaja,223
dilashada,222
gami,222
hakimuddina,221
junaida,221
sami,221
saidula,219
kamaluddina,219
mala,219
sakima,218
maheto,218
sinaha,218
manoja,218
reza,217
kamila,216
shukala,216
ananda,215
rahamani,215
omaprakasha,215
murari,214
siddhiki,214
shimha,214
akela,213
khatika,213
mistara,213
samtosha,212
alaudadina,211
rai,211
maniruddina,211
varika,211
hasabaimda,211
mamgala,210
razaka,210
dhamgara,210
gau.da,210
hazara,210
ishaqa,209
nasimuddina,209
irshada,209
vaski,208
rojida,208
anila,208
gira,208
maholi,208
masuma,207
mukesha,205
gopala,205
maradi,205
soeba,204
rabidasa,203
bechana,203
dipaka,203
raba,203
rathaura,203
ajamala,202
jalaludina,202
mahiuddina,202
phakharuddina,201
a,201
isarayala,201
afaroza,200
domana,200
sobarati,200
sahaba,200
vidyarthi,199
visvasa,199
kamaita,199
halavai,198
taukira,198
dhanakara,197
upadhya,197
anisha,197
riyasata,196
baranavala,196
vijaya,196
risideva,196
vasila,196
sahima,195
mathuri,195
bhogata,195
karu,195
adila,195
goita,195
asharafa,195
vesara,194
sadarula,194
jabula,194
sarafaraja,194
gafara,194
saiphuddina,193
devanatha,193
manasuri,193
islamuddina,192
bharadvaja,191
sohaila,190
tuphaila,190
mayam,190
chanda,189
raprasada,189
arasada,189
akalu,189
babula,189
shastri,189
sadira,188
shaphi,188
taliba,187
tamija,187
kamjara,187
chaudhuri,186
podyara,186
dhovi,186
hadi,186
sunila,186
asika,186
sirajudina,184
zakira,184
suresha,184
vishavasa,184
talima,184
amirula,183
imtiyaja,183
noniya.n,182
raufa,182
sohela,181
ajamata,181
rahamatulla,181
siddiqi,180
nasarudina,180
salimudina,180
bakasa,180
shamasada,180
bamsaphora,179
shava,179
jumana,179
